"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-25 12:09:10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,
2022-05-25 12:13:12,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,
2022-05-25 12:13:31,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,
2022-05-25 12:13:50,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,
2022-05-25 12:16:03,,,,,,,,,,,,,,,,,,,,,9.72,,,,,,,,,
2022-05-25 12:16:29,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,
2022-05-25 12:16:37,,,,,,,,,,9.80,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:17:26,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:17:43,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,
2022-05-25 12:18:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6
2022-05-25 12:18:40,,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:19:28,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,
2022-05-25 12:19:30,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,
2022-05-25 12:19:55,,,,,8.81,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:21:14,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
2022-05-25 12:21:31,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,
2022-05-25 12:21:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,
2022-05-25 12:22:32,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:22:56,,,,,,,,,,,,8.81,,,,,,,,,,,,,,,,,,
2022-05-25 12:23:01,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:23:12,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
2022-05-25 12:24:58,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:25:37,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,
2022-05-25 12:27:17,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,
